timestamp_query,distance_query,angle_query,timestamp_gallery,distance_gallery,angle_gallery
1604045573.51577,316.5129089355469,27.71701431274414,1604045573.481775,320,28.7841796875
1604045574.717812,316.01544189453125,26.418176651000977,1604045574.677325,319,27.421875
1604045575.953222,315.80865478515625,24.905384063720703,1604045575.918035,319,25.94970703125
1604045577.018872,314.8255310058594,23.1810359954834,1604045577.07197,317,23.9886474609375
1604045578.1384,314.0841979980469,21.227338790893555,1604045578.086314,317,22.2747802734375
1604045579.143308,312.46484375,19.688047409057617,1604045579.106104,317,20.775146484375
1604045580.214096,311.8056335449219,17.674036026000977,1604045580.274345,315,18.4405517578125
1604045581.316379,310.4333190917969,15.490324020385742,1604045581.279632,314,16.50146484375
1604045582.344416,309.5492858886719,13.160834312438965,1604045582.276953,313,14.150390625
1604045583.415825,307.8528747558594,10.65539836883545,1604045583.480645,312,11.6070556640625
1604045584.41853,306.3129577636719,8.90418529510498,1604045584.4582,310,9.7393798828125
1604045585.524732,304.0619812011719,6.573572635650635,1604045585.45837,308,7.62451171875
1604045586.722235,302.9048767089844,4.165188312530518,1604045586.687456,307,5.1910400390625
1604045587.852097,300.68707275390625,2.2998862266540527,1604045587.884913,303,3.2904052734375
1604045588.915153,298.9692687988281,0.20031163096427917,1604045588.866688,301,1.153564453125
1604045589.920547,297.0769958496094,-1.9321534633636475,1604045589.88309,299,-0.8184814453125
1604045591.034871,294.7641906738281,-3.752596139907837,1604045591.077642,298,-2.5653076171875
1604045592.037435,292.65264892578125,-4.9929938316345215,1604045592.067486,298,-3.724365234375
1604045593.121276,290.73199462890625,-6.078431606292725,1604045593.057916,296,-4.7955322265625
1604045594.21475,288.2905578613281,-7.250033378601074,1604045594.273778,292,-6.0479736328125
1604045595.2192,285.89483642578125,-7.870678901672363,1604045595.296632,290,-6.43798828125
1604045596.413416,283.2498474121094,-7.650923728942871,1604045596.458683,290,-6.0809326171875
1604045597.418213,281.4580383300781,-6.862521648406982,1604045597.459322,286,-5.2020263671875
1604045598.425504,279.8636474609375,-5.264283180236816,1604045598.465721,283,-3.5540771484375
1604045599.517673,277.5912780761719,-2.8299033641815186,1604045599.47765,282,-1.131591796875
1604045600.536406,275.5736999511719,0.15346825122833252,1604045600.479611,282,1.746826171875
1604045601.537231,275.0452575683594,3.024777889251709,1604045601.505987,279,4.6197509765625
1604045602.542948,273.5526428222656,6.346385478973389,1604045602.476375,278,8.0584716796875
1604045603.614915,272.7888488769531,10.698627471923828,1604045603.678599,277,12.777099609375
1604045604.616086,271.7562561035156,14.830143928527832,1604045604.676103,275,16.8145751953125
1604045605.6201,271.1038513183594,18.74304962158203,1604045605.710222,275,20.6158447265625
1604045606.760001,270.5838623046875,22.737205505371094,1604045606.709365,274,24.23583984375
1604045607.815256,270.1396179199219,26.675357818603516,1604045607.861719,272,28.4271240234375
1604045608.827826,269.59368896484375,30.220731735229492,1604045608.862112,272,31.6571044921875
1604045609.919183,269.40118408203125,32.743194580078125,1604045609.862114,272,33.94775390625
1604045610.92005,269.6510925292969,34.55116653442383,1604045610.875251,272,35.8428955078125
1604045612.01679,268.8223876953125,36.83761978149414,1604045612.090603,271,38.2379150390625
1604045613.126542,269.0275573730469,38.38520812988281,1604045613.084711,271,39.57275390625
1604045614.130788,268.79010009765625,38.95341110229492,1604045614.060757,272,40.089111328125
1604045615.171005,268.7502136230469,39.519508361816406,1604045615.134072,272,40.594482421875
1604045616.215122,269.0874328613281,40.04201126098633,1604045616.285714,271,40.989990234375
1604045617.219081,268.3253479003906,39.58234786987305,1604045617.274235,272,40.550537109375
1604045618.316149,268.3088073730469,39.2499885559082,1604045618.272124,271,40.3253173828125
1604045619.321427,268.5596923828125,38.79558181762695,1604045619.279043,271,39.8419189453125
1604045620.327852,268.0638122558594,38.48145294189453,1604045620.277874,272,39.4793701171875
1604045621.418126,268.2134094238281,38.03555679321289,1604045621.472839,271,39.0948486328125
1604045622.429786,268.1557922363281,38.04535675048828,1604045622.461882,271,39.08935546875
1604045623.431614,268.1856689453125,38.38054275512695,1604045623.47971,271,39.4464111328125
1604045624.518377,268.492919921875,38.41416549682617,1604045624.459577,271,39.4189453125
1604045625.615731,268.3661804199219,38.43944549560547,1604045625.659502,271,39.5892333984375
1604045626.617859,268.5069885253906,39.083900451660156,1604045626.659255,271,40.2374267578125
1604045627.618465,268.9970397949219,39.612648010253906,1604045627.661619,272,40.660400390625
1604045628.625473,268.83905029296875,40.03028106689453,1604045628.722052,272,41.11083984375
1604045629.722001,269.29705810546875,40.62217330932617,1604045629.672927,272,41.66015625
1604045630.730641,269.4466857910156,40.660430908203125,1604045630.680362,272,41.5777587890625
